,"Portland, Oregon","SF, CA","MN, MN","SJ, CA","Davis, CA","Denver, CO",DC,SLC,"Seattle, WA","Arlington, VA"
n,0.011650277896536982,0.016876958932733263,0.01832214765100671,0.025700164744645797,0.05915206905305915,0.009029232764641324,0.008192142990132191,0.010077581380468688,0.021373179496879138,0.015448526548098144
m,0.006238509990657304,0.011584063962204152,0.016753201799930773,0.022675635942442197,0.05815742244252628,0.008971615664234706,0.006952530995273649,0.007682186664403039,0.01842962167242942,0.01293825836294161
k_avg,0.5355329949238579,0.6865460712266818,0.9143888602372356,0.8823688480259599,0.9830850795253725,0.9935400516795866,0.8487858719646799,0.7622711594587424,0.8623535676251332,0.8375935966950684
edge_length_total,0.0675134371904882,0.10652142867975475,0.18018751637250519,0.1513409379192673,0.29319771081898577,0.06107007054879967,0.09903488420111797,0.11114627733942727,0.17606431327292954,0.10375076356412621
edge_length_avg,10.821971502727898,9.195673666310753,10.755598059339428,6.674306086070791,5.041378432287909,6.8071165526806645,14.244261135988687,14.468073045309147,9.55320770051303,8.019049433279358
streets_per_node_avg,1.3934280639431618,1.5289473684210528,1.38903743315508,1.4112650871703174,1.259810554803789,1.1964050854888206,1.3610493552690084,1.378747795414462,1.4141906873614192,1.2565492321589884
intersection_count,0.01157420288242168,0.017751984296321584,0.017548845470692718,0.025284559909635938,0.05489535296204328,0.007703341656484088,0.007624633431085044,0.01012829169480081,0.021168221207911623,0.014416045685632704
street_length_total,0.06350892366004723,0.09002024606420825,0.166014126337266,0.16285452012297713,0.27928780775083567,0.05830987669985801,0.0981666382676407,0.1113910777936818,0.1781571319494231,0.10194235421915539
street_segment_count,0.006814391231832261,0.010498687664041995,0.01559301625526791,0.025253647337628676,0.057622957108877465,0.007775434897206115,0.006699147381242387,0.007864531670681593,0.01819100555836281,0.01232166018158236
street_length_avg,9.319858349223646,8.574535766829694,10.64662708615773,6.448806204252352,4.846910976359961,7.4991989902422445,14.653711602051084,14.163443924282516,9.793564812307027,8.27346722535279
